source_site,search_url,role,state,city,zip_code,location_scope,location_source,parse_location?,notes,setting_type,,,,,,,,,,,,,,,,
CareListings,https://www.carelistings.com/jobs/CNA/connecticut,ALL_MATCHING,CT,New Haven,6510,city,,No,Multi-role results in one feed,home_care,,,,,,,,,,,,,,,,
RydersHealth,https://www.rydershealth.com/jobs/,ALL_MATCHING,CT,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,snf,,,,,,,,,,,,,,,,
New Haven Center for Nursing & Rehab,https://newhavennh.com/career/,ALL_MATCHING,CT,New Haven,6511,fixed,static,No,Single-site employer,snf,,,,,,,,,,,,,,,,
Southport Center for Nursing & Rehab,https://southportnh.com/careers/,ALL_MATCHING,CT,Southport,6890,fixed,static,No,Single-site employer,snf,,,,,,,,,,,,,,,,
Torrington Center for Nursing & Reha,https://torringtonnh.com/careers/,ALL_MATCHING,CT,Torrington,6790,fixed,static,No,Single-site employer,snf,,,,,,,,,,,,,,,,
Waterbury Center for Nursing & Rehab,https://waterburynh.com/careers/,ALL_MATCHING,CT,Waterbury,6702,fixed,static,No,Single-site employer,snf,,,,,,,,,,,,,,,,
West Haven Center for Nursing & Reha,https://westhavennh.com/careers/,ALL_MATCHING,CT,West Haven,6516,fixed,static,No,Single-site employer,snf,,,,,,,,,,,,,,,,
Atlas Healthcare,https://theatlashcg.com/careers/,ALL_MATCHING,CT,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,snf,,,,,,,,,,,,,,,,
iCare Health Network,https://www.icarehn.com/careers/,ALL_MATCHING,CT,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,snf,,,,,,,,,,,,,,,,
National Healthcare Associates,https://careers-nathealthcare.icims.com/jobs/search?ss=1&searchRelation=keyword_all,ALL_MATCHING,CT,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,snf,,,,,,,,,,,,,,,,
Athena Health Care Systems,https://athenahealthcare.com/careers/,ALL_MATCHING,CT,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,mixed,,,,,,,,,,,,,,,,
Apple Rehab,https://jobs.apploi.com/profile/apple-rehab?utm_campaign=truman&utm_medium=&utm_source=false,ALL_MATCHING,CT,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,snf,,,,,,,,,,,,,,,,
Genesis,https://www.genesiscareers.jobs/genesishcc/jobs,ALL_MATCHING,CT,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,snf,,,,,,,,,,,,,,,,
Complete Care at Glendale Center LLC,https://completecareglendale.com/careers/,ALL_MATCHING,CT,Naugatuck,6770,,,,Single-site employer,snf,,,,,,,,,,,,,,,,
Fox Hill,https://ccfoxhill.com/careers/,ALL_MATCHING,CT,Vernon,6066,,,,Single-site employer,snf,,,,,,,,,,,,,,,,
Complete Care at Groton Regency LLC,https://ccgrotonregency.com/careers/,ALL_MATCHING,CT,Groton,6340,fixed,static,,Single-site employer,snf,,,,,,,,,,,,,,,,
Complete Care at Harrington Court LL,https://ccharringtoncourt.com/careers/,ALL_MATCHING,CT,Colchester,6415,fixed,static,,Single-site employer,snf,,,,,,,,,,,,,,,,
Complete Care at Meriden Center LLC,https://ccmeriden.com/careers/,ALL_MATCHING,CT,Meriden,6450,fixed,static,,Single-site employer,snf,,,,,,,,,,,,,,,,
Kimberly Hall North,https://completecarekhn.com/careers/,ALL_MATCHING,CT,Windsor,6095,fixed,static,,Single-site employer,snf,,,,,,,,,,,,,,,,
Kimberly Hall South Center,https://completecarekhs.com/careers/,ALL_MATCHING,CT,Windsor,6095,,,,Single-site employer,snf,,,,,,,,,,,,,,,,
Autumn Lake,https://autumnlakehealthcare.com/careers/,ALL_MATCHING,CT,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,snf,,,,,,,,,,,,,,,,
Autumn Lake Bucks Hill,https://autumnlakebuckshill.com/career/,ALL_MATCHING,CT,Cromwell,6416,fixed,static,,Single-site employer,snf,,,,,,,,,,,,,,,,
Autumn Lake Cromwell,https://autumnlakecromwell.com/career/,ALL_MATCHING,CT,Waterbury,6704,fixed,static,,Single-site employer,snf,,,,,,,,,,,,,,,,
Autumn Lake New Britain,https://autumnlakenewbritain.com/career/,ALL_MATCHING,CT,New Britain,6051,fixed,static,,Single-site employer,snf,,,,,,,,,,,,,,,,
Masonicare,https://jobs.masonicare.org/search-jobs,ALL_MATCHING,CT,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,mixed,,,,,,,,,,,,,,,,
Advanced Center for Nursing & Rehabilitation,https://advancednh.com/careers/,ALL_MATCHING,CT,New Haven,6511,fixed,static,,Single-site employer,snf,,,,,,,,,,,,,,,,
Amberwoods of Farmington,https://www.amberwoodsof.com/careers/,ALL_MATCHING,CT,Farmington,6032,fixed,static,,Single-site employer,snf,,,,,,,,,,,,,,,,
Ascension,https://jobs.ascension.org/us/en,ALL_MATCHING,,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,home_care,,,,,,,,,,,,,,,,
Aveanna,https://jobs.aveanna.com/jobs/?search_term=,ALL_MATCHING,,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,home_care,,,,,,,,,,,,,,,,
Affinity Home Care,https://www.intelycare.com/jobs/?listing_page=1&employer_id=4978365,ALL_MATCHING,,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,home_care,,,,,,,,,,,,,,,,
Northbridge Communities,https://jobs.jobvite.com/northbridgecompanies/search?t=&c=&l=,ALL_MATCHING,,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,home_care,,,,,,,,,,,,,,,,
SYNERGY Home Care,https://synergyhomecare.com/careers/,ALL_MATCHING,,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,home_care,,,,,,,,,,,,,,,,
Brightstar,https://careers.brightstarcare.com/career-search/?q=&loc=&radius=10&spage=1,ALL_MATCHING,,,,multi,card body,Yes,Multi-location feed. Scraper must extract job title and location per post.,home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Alabama,ALL_MATCHING,AL,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Arizona,ALL_MATCHING,AZ,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Arkansas,ALL_MATCHING,AR,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=California,ALL_MATCHING,CA,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Colorado,ALL_MATCHING,CO,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Connecticut,ALL_MATCHING,CT,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Delaware,ALL_MATCHING,DE,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Florida,ALL_MATCHING,FL,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Georgia,ALL_MATCHING,GA,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Idaho,ALL_MATCHING,ID,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Illinois,ALL_MATCHING,IL,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
