title,company,location,city,state,zip_code,date_posted,salary,description,url,apply_url,scraped_at,source_site,job_board_type,setting_type,job_type
Infection Preventionist / Staff Development Nurse,RydersHealth,"Chester, Newington and Windham, Connecticut",,CT,,,,,,,2025-07-22T14:48:36.364304,RydersHealth,apploi,snf,Full Time
RN Supervisor (night shift),RydersHealth,"Windham, Connecticut",,CT,,,,,,,2025-07-22T14:48:38.387902,RydersHealth,apploi,snf,Part Time
Dietary Aide,RydersHealth,"Mystic, Connecticut",,CT,,,,,,,2025-07-22T14:48:41.214767,RydersHealth,apploi,snf,Full Time
RN/LPN,RydersHealth,"Mystic, CT",,CT,,,,,,,2025-07-22T14:48:42.379159,RydersHealth,apploi,snf,Full Time
MDS Reimbursement Manager,RydersHealth,"Stratford, Connecticut",,CT,,,,,,,2025-07-22T14:48:44.108503,RydersHealth,apploi,snf,Full Time
Front Desk Receptionist,RydersHealth,"Newington, Connecticut",,CT,,,,,,,2025-07-22T14:48:45.261207,RydersHealth,apploi,snf,Part Time
Occupational Therapist,RydersHealth,"Mystic, Connecticut",,CT,,,,,,,2025-07-22T14:48:46.876001,RydersHealth,apploi,snf,Per Diem
Speech Language Pathologist,RydersHealth,"Waterford, Windham",,CT,,,,,,,2025-07-22T14:48:48.073176,RydersHealth,apploi,snf,Per Diem
Physical Therapist,RydersHealth,"Waterford, Connecticut",,CT,,,,,,,2025-07-22T14:48:49.301585,RydersHealth,apploi,snf,Part Time
Physical Therapy Assistant,RydersHealth,"Waterford, Windham, Stratford, Connecticut",,CT,,,,,,,2025-07-22T14:48:50.471679,RydersHealth,apploi,snf,Part Time
CNA,RydersHealth,"Waterbury, CT",,CT,,,,,,,2025-07-22T14:48:52.102697,RydersHealth,apploi,snf,Full Time
RN / LPN,RydersHealth,"Waterbury, CT",,CT,,,,,,,2025-07-22T14:48:54.329966,RydersHealth,apploi,snf,Full Time
Rehabilitation Aide,RydersHealth,"Chester, CT",,CT,,,,,,,2025-07-22T14:48:55.493791,RydersHealth,apploi,snf,Part Time
LPN Wing Nurse,RydersHealth,"Waterford, CT",,CT,,,,,,,2025-07-22T14:48:57.897374,RydersHealth,apploi,snf,Full Time
Housekeeper,RydersHealth,"Chester, CT",,CT,,,,,,,2025-07-22T14:49:02.684335,RydersHealth,apploi,snf,Per Diem
Cook,RydersHealth,"Newington, CT",,CT,,,,,,,2025-07-22T14:49:03.923036,RydersHealth,apploi,snf,Full Time
LPN Per Diem,New Haven Center for Nursing & Rehab,"New Haven, CT 6511",New Haven,CT,6511,,,"New Haven Center for Nursing and Rehabilitation, part of Essential Care, is located in a beautiful North End of New Haven minutes from I91 and I95, on the North Haven and North Branford town line. We are also in the process of building a state of art facility with 150 private rooms to replace our current location. The new building should be complete in approximately 2 years. Come join the team as we transition into the new facility and be part of something special. 
We are looking for a dynamic LPN to work with our newly hired DNS, ADNS, and experienced nursing team. This is a per diem position. The right candidate will lead their shift to ensure top quality resident care and customer service. The right candidate must be a great communicator and communicate with staff and management alike.
 
We just completed our Annual Survey and had minimal deficiencies and no significant findings. We are also back in compliance.
 
 
 
 
 
 
 
 ",https://jobs.apploi.com/view/944879?utm_campaign=jobs_snippet&utm_source=new-haven-nh-career-page&utm_medium=client-web-site&utm_term=josh-reiss&_=1753195749.0807,,2025-07-22T14:49:19.725313,New Haven Center for Nursing & Rehab,apploi,snf,
"LPN: Graduate Nurses Accepted, Full Time, Per Diem, Weekends (all shifts): 7-3, 3-11, 11-7",Southport Center for Nursing & Rehab,"Southport, CT 6890",Southport,CT,6890,,,"Are you a compassionate and dedicated Licensed Practical Nurse (LPN) looking for a rewarding opportunity? Southport Center for Nursing and Rehabilitation is excited to welcome new team members to provide exceptional care to our residents.
Position Details:

Position Type: Full Time, Per Diem, Weekends (all shifts):  7-3, 3-11, 11-7
Experience: Preferred, but we are happy to train motivated individuals eager to learn and grow in their nursing career.

What You’ll Need:

A current and valid LPN license in good standing.
A passion for providing quality care and supporting residents’ well-being.
A positive attitude and willingness to be a team player.

Why Southport?

Be part of a supportive, dynamic team dedicated to making a difference in residents' lives.
Gain valuable experience and grow your nursing skills in a welcoming environment.
Flexible scheduling.
",https://jobs.apploi.com/view/743665?utm_campaign=jobs_snippet&utm_source=southport-nh-career-page&utm_medium=client-web-site&utm_term=josh-reiss&_=1753195780.5006742,,2025-07-22T14:49:50.933170,Southport Center for Nursing & Rehab,apploi,snf,
