id,title,company,location,city,state,salary,description,overview,requirements,url,source,source_url,scraped_at,tags,setting_type
RydersHealth_8187299169679364762,Infection Preventionist / Staff Development Nurse,RydersHealth,CT,,CT,Not specified,Infection Preventionist / Staff Development Nurse Ryders Health Management Our family taking care of yours,Infection Preventionist / Staff Development Nurse Ryders Health Management Our family taking care of yours,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:08.733709,Skilled Nursing Facility (care_setting),snf
RydersHealth_5244759750864850064,RN Supervisor (night shift),RydersHealth,CT,,CT,Not specified,RN Supervisor (night shift) Douglas Manor,RN Supervisor (night shift) Douglas Manor,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:09.459485,Full-Time (employment); Overnight (shift); Skilled Nursing Facility (care_setting),snf
RydersHealth_5828942290141789617,Dietary Aide,RydersHealth,CT,,CT,Not specified,Dietary Aide Mystic Healthcare,Dietary Aide Mystic Healthcare,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:10.737899,Skilled Nursing Facility (care_setting),snf
RydersHealth_1550689134529241094,RN/LPN,RydersHealth,CT,,CT,Not specified,RN/LPN Mystic Healthcare,RN/LPN Mystic Healthcare,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:11.396296,Skilled Nursing Facility (care_setting),snf
RydersHealth_7179679032123769250,MDS Reimbursement Manager,RydersHealth,CT,,CT,Not specified,MDS Reimbursement Manager Lord Chamberlain Nursing and Rehabilitation,MDS Reimbursement Manager Lord Chamberlain Nursing and Rehabilitation,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:12.003807,Skilled Nursing Facility (care_setting),snf
RydersHealth_5339433081416824278,Front Desk Receptionist,RydersHealth,CT,,CT,Not specified,Front Desk Receptionist Bel-Air Manor Our family taking care of yours,Front Desk Receptionist Bel-Air Manor Our family taking care of yours,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:12.728679,Part-Time (employment); Skilled Nursing Facility (care_setting),snf
RydersHealth_2451394146472494434,Occupational Therapist,RydersHealth,CT,,CT,Not specified,Occupational Therapist Mystic Healthcare,Occupational Therapist Mystic Healthcare,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:13.454771,Skilled Nursing Facility (care_setting),snf
RydersHealth_8725231433461400419,Physical Therapist,RydersHealth,CT,,CT,Not specified,Physical Therapist Greentree Manor,Physical Therapist Greentree Manor,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:14.080762,Skilled Nursing Facility (care_setting),snf
RydersHealth_7996822131728869343,Physical Therapy Assistant,RydersHealth,CT,,CT,Not specified,"Physical Therapy Assistant Greentree Manor, Douglas Manor, Lord Chamberlain","Physical Therapy Assistant Greentree Manor, Douglas Manor, Lord Chamberlain",,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:15.187661,Skilled Nursing Facility (care_setting),snf
RydersHealth_3322068547153439535,CNA,RydersHealth,CT,,CT,Not specified,CNA Cheshire House,CNA Cheshire House,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:16.572018,Skilled Nursing Facility (care_setting),snf
RydersHealth_2563809114429974527,RN / LPN,RydersHealth,CT,,CT,Not specified,RN / LPN Cheshire House,RN / LPN Cheshire House,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:17.429001,Skilled Nursing Facility (care_setting),snf
RydersHealth_6066475598448039183,Rehabilitation Aide,RydersHealth,CT,,CT,Not specified,Rehabilitation Aide Aaron Manor,Rehabilitation Aide Aaron Manor,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:18.261690,Skilled Nursing Facility (care_setting),snf
RydersHealth_3299444990929636109,LPN Wing Nurse,RydersHealth,CT,,CT,Not specified,LPN Wing Nurse Greentree Manor,LPN Wing Nurse Greentree Manor,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-01T21:34:19.855854,Skilled Nursing Facility (care_setting),snf
Autumn Lake_3104305501875894856,MDS Coordinator,Autumn Lake,"Autumn Lake Healthcare at Norwalk Norwalk, CT",Autumn Lake Healthcare at Norwalk Norwalk,CT,Not specified,"MDS Coordinator Date added: 04/21/2025 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut","MDS Coordinator Date added: 04/21/2025 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:29.952010,Skilled Nursing Facility (care_setting),snf
