title,company,location,category,salary_min,salary_max,job_type,quality_score,posted_date,application_url,requirements
"NICU Nurse","Stamford Hospital","Springfield, MA","nursing",76355,87253,"per-diem",86,"2025-06-23","https://jobs.stamfordhospital.com/apply/64354","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Trauma Nurse","Bridgeport Hospital","Middletown, CT","nursing",84655,101662,"per-diem",84,"2025-06-23","https://careers.bridgeporthospital.org/job/105819","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"ICU Nurse","Bridgeport Hospital","Norwalk, CT","nursing",76356,92517,"part-time",83,"2025-06-13","https://jobs.bridgeporthospital.com/apply/34113","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Charge Nurse","Charlotte Hungerford Hospital","White Plains, NY","nursing",73398,95223,"contract",78,"2025-06-22","https://www.glassdoor.com/job-listing/charge-nurse-charlotte-hungerford-hospital-JV_IC7014269.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"OR Nurse","Yale New Haven Health System","Milford, CT","nursing",92337,97809,"full-time",85,"2025-06-21","https://www.glassdoor.com/job-listing/or-nurse-yale-new-haven-health-system-JV_IC7795999.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Pediatric Nurse","Bridgeport Hospital","Hartford, CT","nursing",78380,104789,"part-time",97,"2025-06-09","https://careers.bridgeporthospital.org/job/929460","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"ICU Nurse","Norwalk Hospital","Norwalk, CT","nursing",76222,100617,"part-time",88,"2025-06-19","https://jobs.norwalkhospital.com/apply/73924","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Charge Nurse","Prospect Medical Holdings","White Plains, NY","nursing",79225,100876,"per-diem",94,"2025-06-13","https://www.ziprecruiter.com/c/Prospect-Medical-Holdings/Jobs/242795","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Charge Nurse","Prospect Medical Holdings","Springfield, MA","nursing",72697,86955,"per-diem",86,"2025-06-10","https://www.glassdoor.com/job-listing/charge-nurse-prospect-medical-holdings-JV_IC4325343.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Float Pool Nurse","Day Kimball Hospital","Stamford, CT","nursing",89097,96512,"contract",93,"2025-06-23","https://careers.daykimballhospital.net/opportunities/2198","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
