id,title,company,location,city,state,description,requirements,salary,job_type,url,source,source_url,scraped_at,platform
National Healthcare Associates_7811646138898687750,Careers,National Healthcare Associates,"About
Services
Locations
Careers
Conta, CT","About
Services
Locations
Careers
Conta",CT,"About
Services
Locations
Careers
Contact Us",Requirements not specified,Salary not specified,Full-time,https://nhca.com/,National Healthcare Associates,https://careers-nathealthcare.icims.com/jobs/search?ss=1&searchRelation=keyword_all,2025-07-10T19:02:10.646270,icims
National Healthcare Associates_5483074947272231933,Life Happens Here.,National Healthcare Associates,"Contact Us
About National
Career Opportunities
Find a Location
Conta, CT","Contact Us
About National
Career Opportunities
Find a Location
Conta",CT,"Life Happens Here.
Contact Us
About National
Career Opportunities
Find a Location
Contact Us
Admissions Application
Payment Sources
Compliance
Privacy Policy
Notice of Privacy Practices
ⓒ 2022 National Health Care Associates. All Rights Reserved.",Requirements not specified,Salary not specified,Full-time,https://c-13329-20230208-nhca-com.i.icims.com/contact/,National Healthcare Associates,https://careers-nathealthcare.icims.com/jobs/search?ss=1&searchRelation=keyword_all,2025-07-10T19:02:13.797536,icims
Harbor Chase_2380949805185694802,Licensed Practical Nurse ( LPN ) PRN,Harbor Chase,"Palm Beach Gardens, FL 33418, USA",Palm Beach Gardens,FL,"Licensed Practical Nurse ( LPN ) PRN
Jul 10, 2025
Job Category: Resident Care-AL
Requisition Number: LICEN021411
Schedule: Part Time
Job Location Type: On-site




Palm Beach Gardens, FL 33418, USA





PRN LPN needed. Provides direct and individual nursing care to assigned residents based on nursing standards and under the supervision of the Director of Resident Care (DRC). Also maintains compliance with all state and federal regulations and the standards of HRA.",Requirements not specified,Salary not specified,Part-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=40d4b69f-1a06-4f12-aec9-1d224ff32432,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:49:55.103492,ultipro
Harbor Chase_6212368089014053561,Licensed Practical Nurse (LPN),Harbor Chase,"Coral Springs, FL 33065, USA",Coral Springs,FL,"Licensed Practical Nurse (LPN)
Jul 10, 2025
Job Category: Resident Care-AL
Requisition Number: LICEN021407
Schedule: Part Time




Coral Springs, FL 33065, USA





Please only apply if you have a flexible schedule and understand that you are expected to fill in shifts as needed to the best of your ability. We are seeking a per diem LPN candidate with experience in either Assisted Living, Skilled Nursing, or Home Health with ALF experience, and possesses a passion for helping seniors. The shifts...","ed Nursing, or Home Health with ALF experience, and possesses a passion for helping seniors. The shifts available are for every other weekend.",Salary not specified,Part-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=1fdda9d8-e6df-45aa-a258-9de7ac0835ca,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:49:56.973183,ultipro
Harbor Chase_7318863248303719024,AL Medication Assistant,Harbor Chase,"Boynton Beach, FL 33436, USA",Boynton Beach,FL,"AL Medication Assistant
Jul 9, 2025
Job Category: Resident Care-AL
Requisition Number: ALMED021406
Schedule: Full Time




Boynton Beach, FL 33436, USA





A Medication Assistant, also known as a Certified Medication Aide (CMA) or Medication Technician, primarily administers medications to patients in a healthcare setting, under the supervision of a licensed nurse. They also play a crucial role in patient care by documenting medication administration, monitoring patient responses, and reporting...",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=65cc5858-3d20-4481-b98b-4d2fe500ac70,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:49:58.789781,ultipro
Harbor Chase_4553315264971391475,LPN LVN-AL,Harbor Chase,"Boynton Beach, FL 33436, USA",Boynton Beach,FL,"LPN LVN-AL
Jul 9, 2025
Job Category: Resident Care-AL
Requisition Number: LPNLV021405
Schedule: Full Time
Job Location Type: On-site




Boynton Beach, FL 33436, USA





Provides direct and individual nursing care to assigned residents based on nursing standards and under the supervision of the Director of Resident Care (DRC). Also maintains compliance with all state and federal regulations and the standards of HRA.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=dbf90243-4f9b-4ea0-80c7-c41e84cbd290,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:00.777056,ultipro
Harbor Chase_3207045111627788581,Director of Sales,Harbor Chase,"Jacksonville, FL 32223, USA",Jacksonville,FL,"Director of Sales
Jul 8, 2025
Job Category: Marketing
Requisition Number: DIREC021403
Schedule: Full Time




Jacksonville, FL 32223, USA





The Director of Sales is responsible for managing occupancy development of the community, actively marketing the community by networking in the local community with residents, families, discharge planners, social service workers, local community business organizations and other referral sources.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=23a50c18-3aca-4d6c-8acb-d0fe2c00e062,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:02.556497,ultipro
Harbor Chase_5059937648784589004,LVN,Harbor Chase,"Southlake, TX 760925236, USA",Southlake,TX,"LVN
Jul 8, 2025
Job Category: Resident Care-AL
Requisition Number: LVN00021401
Schedule: Full Time
Job Location Type: On-site




Southlake, TX 760925236, USA





Provides direct and individual nursing care to assigned residents based on nursing standards and under the supervision of the Director of Resident Care (DRC). Also maintains compliance with all state and federal regulations and the standards of HRA.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=5704e0a9-d72e-4c5e-adf2-03757d064c82,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:04.759657,ultipro
Harbor Chase_5367514561671500147,Life Enrichment Coordinator,Harbor Chase,"Sarasota, FL 34233, USA",Sarasota,FL,"Life Enrichment Coordinator
Jul 8, 2025
Job Category: Life Enrichment
Requisition Number: LIFEE021399
Schedule: Full Time
Job Location Type: On-site




Sarasota, FL 34233, USA





Assisted Living and Memory Care. Assists in the implementation of a comprehensive activities program geared to meet the spiritual, physical, social and psychosocial needs of community residents.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=f4b66277-2581-4300-92fd-f0404e6db113,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:06.461141,ultipro
Harbor Chase_6092818339507433215,Cook,Harbor Chase,"Plano, TX 75024, USA",Plano,TX,"Cook
Jul 8, 2025
Job Category: Dietary
Requisition Number: COOK0021397
Schedule: Full Time




Plano, TX 75024, USA





“In response to the crisis surrounding Coronavirus / COVID-19, HarborChase is offering assistance those whose employment is impacted. We are hiring Full Time, Part Time, and Temporary Associates (PRN). Stewardship is a CORE value at HarborChase, so when our community is in a time of need, we are elated to be able to lend a helping hand.” The cook assists with preparing menus, ...",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=6976fc21-dbd6-4a26-85cc-d126441e7a61,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:08.218178,ultipro
