id,title,company,location,city,state,zip_code,url,source,source_url,scraped_at,description,platform,salary,shift_type,requirements,benefits,application_url,job_category,seniority_level,is_remote,salary_min,salary_max,salary_type,salary_is_competitive,education_requirements,experience_requirements,certification_requirements,skill_requirements,completeness_required,completeness_optional,completeness_overall
CareListings_6034342677609877569,Caregiver Jobs,CareListings,"Find Senior Care Caregiver Jobs Recruit Caregivers Sign, IN",Find Senior Care Caregiver Jobs Recruit Caregivers Sign,IN,,https://www.carelistings.com/jobs/registration,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:19:47.226550,Find Senior Care Caregiver Jobs Recruit Caregivers Sign in,custom,,,Senior,,https://www.carelistings.com/jobs/registration,caregiving,senior,False,,,,False,,senior,,,1.0,0.25,0.7749999999999999
CareListings_2544533744297383089,Certified Nursing Assistant (CNA) Jobs,CareListings,"Certified Nursing, AS",Certified Nursing,AS,,https://www.carelistings.com/jobs/caregivers,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:19:51.105078,"Home / Certified Nursing Assistant (CNA) Jobs / CT / CT
View All Nearby Caregiver Jobs",custom,,,"CNA, Certified, Certified Nursing Assistant",,https://www.carelistings.com/jobs/caregivers,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.25,0.7749999999999999
CareListings_1859856867771485921,View All Nearby Caregiver Jobs,CareListings,"View All Nearby Caregiver, JO",View All Nearby Caregiver,JO,,https://www.carelistings.com/jobs/caregivers/ct?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:19:53.259096,View All Nearby Caregiver Jobs,custom,,,,,https://www.carelistings.com/jobs/caregivers/ct?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,caregiving,entry,False,,,,False,,,,,1.0,0.0,0.7
CareListings_6971339076889627177,41 Certified Nursing Assistant (CNA) Job Listings near CT,CareListings,"Certified Nursing, AS",Certified Nursing,AS,,,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:19:54.390358,41 Certified Nursing Assistant (CNA) Job Listings near CT,custom,,,"CNA, Certified, Certified Nursing Assistant",,,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,0.8,0.25,0.6349999999999999
CareListings_6836873306647502502,Caregiver needed,CareListings,"Washington Depot, CT",Washington Depot,CT,,https://www.carelistings.com/jobs/cna/washington-depot-ct/685a05d6f479d90013f9256e?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:19:59.034449,"Caregiver needed
Compassion Home Care
Washington Depot, CT
Home Care Agency
Certified Nursing Assistant (CNA)
Part-Time Employment
$22.00 - $24.00 / Hour
""Agency seeking CNA in the new Preston, CT area. Please call us at 203-872-9092""
Apply Now",custom,,Part-Time,"CNA, Certified, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/washington-depot-ct/685a05d6f479d90013f9256e?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.5,0.85
CareListings_6836873306647502502,"""Agency seeking CNA in the new Preston, CT area. Please call us at 203-872-9092""",CareListings,"""Agency seeking CNA in the new Preston, CT","""Agency seeking CNA in the new Preston",CT,,https://www.carelistings.com/jobs/cna/washington-depot-ct/685a05d6f479d90013f9256e?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:03.117180,"Home Care Agency
Certified Nursing Assistant (CNA)
Part-Time Employment
$22.00 - $24.00 / Hour
""Agency seeking CNA in the new Preston, CT area. Please call us at 203-872-9092""
Apply Now",custom,,Part-Time,"CNA, Certified, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/washington-depot-ct/685a05d6f479d90013f9256e?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.5,0.85
CareListings_7620125984209076220,Seeking CNA,CareListings,"Wallingford, CT",Wallingford,CT,,https://www.carelistings.com/jobs/cna/wallingford-ct/683afc06548fac001264bcad?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:05.452121,"Seeking CNA
Compassion Home Care
Wallingford, CT
Home Care Agency
Certified Nursing Assistant (CNA)
Full-Time Employment
$18.00 - $20.00 / Hour
""Cna position available for a case in Wallingford, CT. Please email resumes to compassioncarellc@yahoo.com or call 203-872-9092""
Apply Now",custom,,Full-Time,"Certified, CNA, Cna, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/wallingford-ct/683afc06548fac001264bcad?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.5,0.85
CareListings_7620125984209076220,"""Cna position available for a case in Wallingford, CT. Please email resumes to compassioncarellc@yahoo.com or call 203-872-9092""",CareListings,"""Cna position available for a case in Wallingford, CT","""Cna position available for a case in Wallingford",CT,,https://www.carelistings.com/jobs/cna/wallingford-ct/683afc06548fac001264bcad?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:08.165055,"Home Care Agency
Certified Nursing Assistant (CNA)
Full-Time Employment
$18.00 - $20.00 / Hour
""Cna position available for a case in Wallingford, CT. Please email resumes to compassioncarellc@yahoo.com or call 203-872-9092""
Apply Now",custom,,Full-Time,"CNA, Certified, Certified Nursing Assistant, Cna",,https://www.carelistings.com/jobs/cna/wallingford-ct/683afc06548fac001264bcad?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.5,0.85
CareListings_3467396200583340678,Female Caregiver Needed in Newtown CT,CareListings,"Newtown, CT",Newtown,CT,,https://www.carelistings.com/jobs/cna/newtown-ct/6824d38909a8400013635550?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:12.546623,"Female Caregiver Needed in Newtown CT
Giving Hearts Home Care
Newtown, CT
Home Care Agency
Certified Nursing Assistant (CNA)
Full-Time Employment
$18.00 - $20.00 / Hour
""Female caregiver needed in Newtown CT. Client is a 76 y/o female with advanced alzheimers/dementia. Needs stand by assist with bathing, light housekeeping, meal prep, possible errands, and engaging in...""
Apply Now",custom,,Full-Time,"CNA, Certified, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/newtown-ct/6824d38909a8400013635550?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,senior,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.5,0.85
CareListings_3467396200583340678,Female Caregiver Needed in Newtown CT,CareListings,"Female Caregiver Needed in Newtown, CT",Female Caregiver Needed in Newtown,CT,,https://www.carelistings.com/jobs/cna/newtown-ct/6824d38909a8400013635550?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:17.102446,Female Caregiver Needed in Newtown CT,custom,,,,,https://www.carelistings.com/jobs/cna/newtown-ct/6824d38909a8400013635550?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,caregiving,entry,False,,,,False,,,,,1.0,0.0,0.7
