source_site,apply_url,Title,role,Shift(s),employment_type,state,city,zip_code,Description,pay,setting_type
"Colonial Health & Rehab Center of Plainfield, LLC",https://colonialhr.com/careers/,Certfied Nursing Assistants (CNA) 2nd Shift | FT & PT,CNA,2nd (1:30PM-9:30PM),"Full Time (32 Hours), Part Time (24 Hours)",CT,Plainfield,6374,"Full Time (32 hours) & Part Time (24 Hours), 2nd Shift (1:30PM-9:30PM). Responsible for providing residents with routine daily and restorative nursing care and services in accordance with the residents assessment, care plans, and as directed by the supervisors. Ensures resident’s needs are met while maintaining the highest degree of dignity. Active CNA Certificate in the State of Connecticut required. Long term care experience preferred. Point Click Care software preferred.
Vacation after one year, sick pay accrued by CT paid sick leave, & personal days. no cost insurance after probationary period (including vision and dental) deductible fully funded by employer.

New Starting rate $20.02 plus $2.00 shift differential (2nd and 3rd) and $3.75 more for off weekend/12 hour shift",$20.02,snf
"Colonial Health & Rehab Center of Plainfield, LLC",https://colonialhr.com/careers/,Licensed Practical Nurse (LPN) 2nd Shift | FT& PT,LPN,2nd (3p-11p),"Full Time (32 Hours), Part Time (24 Hours)",CT,Plainfield,6374,"Full Time (32 hours) & Part Time (24 Hours), 2nd Shift (1:30PM-9:30PM). Responsible for providing residents with routine daily and restorative nursing care and services in accordance with the residents assessment, care plans, and as directed by the supervisors. Ensures resident’s needs are met while maintaining the highest degree of dignity. Active CNA Certificate in the State of Connecticut required. Long term care experience preferred. Point Click Care software preferred.
Vacation after one year, sick pay accrued by CT paid sick leave, & personal days. no cost insurance after probationary period (including vision and dental) deductible fully funded by employer.

New Starting rate $20.02 plus $2.00 shift differential (2nd and 3rd) and $3.75 more for off weekend/12 hour shift",$31.92,snf
"Colonial Health & Rehab Center of Plainfield, LLC",https://colonialhr.com/careers/,Licensed Practical Nurse (LPN) 2nd Shift | FT& PT,LPN,3rd (11p-7a),Part Time,CT,Plainfield,6374,"Full Time (32 hours) & Part Time (24 Hours), 2nd Shift (1:30PM-9:30PM). Responsible for providing residents with routine daily and restorative nursing care and services in accordance with the residents assessment, care plans, and as directed by the supervisors. Ensures resident’s needs are met while maintaining the highest degree of dignity. Active CNA Certificate in the State of Connecticut required. Long term care experience preferred. Point Click Care software preferred.
Vacation after one year, sick pay accrued by CT paid sick leave, & personal days. no cost insurance after probationary period (including vision and dental) deductible fully funded by employer.

New Starting rate $20.02 plus $2.00 shift differential (2nd and 3rd) and $3.75 more for off weekend/12 hour shift",$31.92,snf
"Colonial Health & Rehab Center of Plainfield, LLC",https://colonialhr.com/careers/,Registered Nurse (RN) | Full Time,RN,3rd (11p-7a),Full Time (32 Hours),CT,Plainfield,6374,"Full Time (32 hours)  Assists the Director of Nursing Services in planning, organizing, developing, and directing the day to day functions. Registered Nurse Degree Required, Progressive clinical management/administrative experience-long term care experience preferred. Active RN License in the state of CT required & active CPR Certificate required. New starting base rate $42.00 plus $3.00 supervisor differential, $6.00 2nd and 3rd shift differential.

Vacation after 1 year (12 days ) & Personal after 1 year, Sick time accrued per CT Sick leave.

401k- 4% employer match and 9.5% employer contribution

No cost insurance after probationary period (including vision and dental) deductible fully funded by employer

long term care experience preferred

point click care experience preferred",$42.00,snf
Connecticut Baptist Homes,https://www.ctbaptisthomes.org/careers/open-positions/?id=87649,Registered Nurse (RN) | Charge Nurse,RN,"7-3, 3-11, 11-7","Part Time, Per Diem",CT,Meriden,6450,"Description
Part Time, Per Diem 
Shifts Available:  7-3, 3-11, 11-7
May include every other weekend
Some Holidays required
 

Requirements
Providing nursing care within their scope of practice
Performing appropriate segments of the prescribed medical regime for an assigned group of patients
May act as supervisor
Experience

Long Term Care: Experience Preferred
Skills and Competencies

Ability to read, write, speak, and understand the English language clearly
Must be able to relate to older people in a dignified manner and build a relationship with residents that are positive and supportive.
Competent use of equipment such as mechanical lifts, scales, and assistive mobility devices.
Must be physically able to lift and carry moderately heavy loads and walk and stand for extended periods.
Working knowledge of computers and ability to learn and utilize electronic documentation.
Must possess leadership and supervisory ability with strong teamwork willingness and aptitude.
LICENSE
Valid State of Connecticut license as Registered Nurse.

 

You can email your resume or application using the form below, or reach out to our Human Resources Department at 203-237-1206.
",,snf
Connecticut Baptist Homes,https://www.ctbaptisthomes.org/careers/open-positions/?id=90602,"Certfied Nursing Assistants (CNA) All Shifts | FT, PT & Per Diem",CNA,"7-3, 3-11, 11-7","Full Time, Part Time, Per Diem",CT,Meriden,6450,"Description
Full Time, Part Time, Per Diem 
Shifts Available:  7-3, 3-11, 11-7
May include every other weekend
Some Holidays required
 

Requirements
Assisting residents with daily activities such as bathing, dressing, and eating
Monitoring and recording vital signs and patient information
Providing emotional support and companionship to residents
Following care plans and reporting any changes in patient condition
Ensuring resident comfort and safety at all times
Collaborating with healthcare team members to provide high-quality patient care
Adhering to HIPAA regulations and maintaining patient confidentiality
Demonstrating proficiency in using EMR and EHR systems for accurate medical documentation (Point Click Care)
Experience

Long Term Care: Experience Preferred
Skills and Competencies

Holds a valid CNA certification and demonstrates proficiency in basic life support, patient care, and medical documentation. 
Ability to read, write, speak, and understand the English language clearly
Must be able to relate to older people in a dignified manner and build a relationship with residents that are positive and supportive.
Competent use of equipment such as mechanical lifts, scales, and assistive mobility devices.
Must be physically able to lift and carry moderately heavy loads and walk and stand for extended periods.
Possesses knowledge of EMR and EHR systems, HIPAA regulations, and medical terminology. 
Premium skills include Alzheimer's care, and working in long-term care facilities. 
Certification

Valid Certification as a Certified Nursing Assistant
 

You can email your resume or application using the form below, or reach out to our Human Resources Department at 203-237-1206.",,snf
Gladeview Health Care Center,https://form.jotform.com/73394999802171,Certfied Nursing Assistants (CNA) All Shifts | Full Time & Part Time,CNA,"7-3, 3-11, 11-7","Full Time, Part Time",CT,Old Saybrook,6475,"Gladeview is the premier Rehabilitation & Health Care Center overlooking the Ragged Rock Marina and Long Island Sound in scenic Old Saybrook, CT. We specialize in short term, long term care and hospice care.We are privately owned and operated and have a family atmosphere that is unmatched by any other skilled nursing facility.

MINIMUM STARTING RATE OF_ $20.50 for newly licensed_ CNA's PLUS Shift Differentials. More years of expereince higher pay..

Starting rate is based on years of experience, the higher experience the higher starting rate.

FULL TIME/PART TIME/PER DIEM Certified Nursing Assistants for IMMEDIATE OPENINGS FOR the following shifts:

7am TO 3pm
3pm TO 11pm
Per diem 11pm-7am
***Also Offering $2000.00 SIGN ON BONUS Full Time Staff, $1000 for Part Time Staff 24 hrs week***

All applicants must pass a thorough background check, current in the State of Connecticut Registry and in good standing, and have 3 professional references.

We offer excellent benefits for employees including:

401k - Profit share plan (6% of your annual wages)
vacation/sick/personal time
paid Holidays
health, dental and vision insurance including HSA and HRA's (Several medical plans to choose from as low as $14.50 a week)
Disability insurance
Life Insurance
Very competitive wages based on years of experience plus additional:

nights and weekend shift differentials
Referral Bonus
Shift Pick up Bonus
Please be sure to specify what shift and hours you are applying for

Job Types: Full-time, Part-time

Benefits:

401(k)
401(k) matching
Dental insurance
Disability insurance
Health insurance
Health savings account
Life insurance
Paid orientation
Paid sick time
Paid time off
Vision insurance
Physical Setting:

Long term care
Nursing home
Rehabilitation center
Supplemental Pay:

Bonus opportunities
Differential pay
Signing bonus
License/Certification:

Connecticut CNA license (Required)
Shift availability:

Day Shift (Preferred)
Night Shift (Preferred)
Overnight Shift (Preferred)",,snf
McLean Health Center,https://mcleancare.org/careers/,Assisted Living Nurse Aides - CNA,CNA,"Day (7A-3:30P), Evening (3p-11:30p), Overnight (11p-7:30a)","Full Time, Part-Time, Perdiem",CT,Simsbury,6070,"We are looking for caring and compassionate certified nurse aides (CNAs) to offer top notch care for our residents. We offer excellent patient to aide ratios along with a supportive, friendly, team environment with patient centered care - always the goal. Located in beautiful Simsbury - we are a 15-20 ride from Bloomfield, Hartford/West Hartford, Torrington, Canton, Avon, Bristol, Burlington, Farmington and Winsted. We are a 5-star CMS rated facility celebrating 54 years of excellence in 2025!

Days - 7am-3:30pm, evenings 3PM-11:30PM or nights 11p-7:30a - includes every other weekend
Full-time and part-time
per diem positions are also available
Teamwork, respect, honesty, helpful, good, caring, dedicated, empathy, loving – just some of the words used by our employees to describe whey they enjoy working at McLean!

We offer full benefits including a paid retirement plan, Medical, Dental, Vision and Life Insurance along with 3 weeks of PTO and 6 paid holidays. We have a 25% weekend differential with competitive hourly pay rates. Call us today to see why McLean care is the best care!

Rotating two-week schedule including every other weekend and a yearly holiday rotation schedule

Must be able to work well with all team members
Computer skills are necessary for CNA documentation",$17,mixed
McLean Health Center,https://mcleancare.org/careers/,Home Health Aide/CNA,HHA/CNA,Day,Full-Time,CT,Simsbury,6070,"We are looking for a Home Health Aide to care for our home care and hospice patients in the Farmington Valley and West Hartford areas - in their homes or in skilled nursing/assisted living facilities. 35 hours weekly with 1 weekend a month rotation. Cases are 1 or 2 hours for each patient. Paid mileage weekly along with a good work life balance. Must have current CT Nurse Aide registration and reliable transportation. Full benefits along with 15% weekend differential.

Job Type: Full-time

Pay: From $18.00 per hour

Benefits:

401(k)
AD&D insurance
Dental insurance
Flexible spending account
Health insurance
Life insurance
Mileage reimbursement
Paid time off
Retirement plan
Vision insurance
Medical Specialty:

Geriatrics
Home Health
Work Location: On the road",$18,mixed
Beechwood Post-Acute & Transitional Care,https://www.beechwoodrehab.net/careers,Full Time RN Registered Nurse Sign On BONUS,RN,3p-11p,Full-Time (32 hours),CT,New London,6320,"Full Time Position:
Full Time- 3AM - 11PM 32 hrs. Charge Nurse RN, Every Other Weekend Supervisor, $4,000 sign-on bonus.

At Beechwood Health & Rehabilitation Center, we are expanding our team of licensed staff and C.N.A.s to continue providing 5-star quality care. Great place to work, 80% of Beechwood staff would recommend Beechwood to their friends and family. Beechwood is committed to growth and excellence. We recruit only the best of the best, if that is you, come join our team of compassionate caregivers.

Opportunities Available:

Full Time- 3AM - 11PM 32 hrs. Charge Nurse RN, Every Other Weekend Supervisor,
The Beechwood Difference.

Top Performer: Consistently ranked as a Top Performer by US News and World Report.
5-Star Quality Care: We pride ourselves on delivering exceptional care.
Home Away from Home: Our facility is designed to be a comfortable, modern, and well-equipped environment for both residents and staff.
Premier Facility: A 60-bed skilled nursing facility offering both short-term and long-term care in New London County.
Experienced Team: Join a community of compassionate caregivers with an average employee tenure of 10 years.
What We Offer:

Enjoyable work environment where you feel supported.
Highest staff to patient ratio in New London
Competitive Wage Structure
RN Supervisor $50 - $53 hr.
Sign On-bonus $4000
Shift Differentials
Beechwood has been serving the greater New London community for over 50 years. Come see for yourself the difference you can make by joining our family. Contact us today to learn more about these exciting opportunities!

Apply Now and Be Part of the Beechwood difference! an equal opportunity employer.",$50-53,snf
